"233-237 Banna Avenue, Griffith, ACT 2603, Australia",-34.286976,146.0380131
"2A/52 Ken Tubman Drive, Maitland, NSW 2320, Australia",-32.7353269,151.5580183
"81 North Street, Nowra, NSW 2541, Australia",-34.8719778,150.5984012
"296-298 Summer Street, Orange, NSW 2800, Australia",-33.2843078,149.1028535
"2330, Australia",-32.6616548,151.0506202
"2/235 Peel Street, Tamworth, NSW 2340, Australia",-31.0978285,150.9363406
"2650, Australia",-35.1144671,147.3386834
"2520, Australia",-34.6839943,-58.5537296
"2229, Australia",-34.0559517,151.1124286
"63-67 The Crescent, Fairfield, NSW 2165, Australia",-33.8726225,150.9559174
"2481, Australia",-28.6508588,153.5997403
"3220, Australia",-38.1459038,144.3475136
"58 Main Street, Lithgow, NSW 2790, Australia",-33.4836507,150.1424203
"307 Peel Street, Tamworth, NSW 2340, Australia",-31.0978285,150.9363406
"6 Reliance Drive, Tuggerah, NSW 2259, Australia",-33.3189499,151.4203839
"19 Lovell Street, Young, NSW 2594, Australia",-34.31224,148.2984357
"110 Moore Street, Liverpool, NSW 2170, Australia",-33.9224571,150.9216763
"5 George Street, North Strathfield, NSW 2137, Australia",-33.8634757,151.0888538
"2114, Australia",-33.8146533,151.0887645
"25 Bouquet Street, South Brisbane, QLD 4101, Australia",-27.4712166,153.0129463
"61 Pennant Avenue, Denistone, NSW 2114, Australia",-33.798892,151.09579
"2 Portside Crescent, Maryville, NSW 2293, Australia",-32.913607,151.7569455
"2010, Australia",-33.8835383,151.2135729
"903/50 Clarence Street, Sydney, NSW 2000, Australia",-33.8659063,151.205181
"15 Canning Street, Bega, NSW 2550, Australia",-36.6733531,149.844415
"62 Bombala Street, Cooma, NSW 2630, Australia",-36.2390976,149.1302603
"2551, Australia",-37.1046464,149.8871876
"Thredbo Terrace, Jindabyne, NSW 2627, Australia",-36.4160368,148.6229571
"3 Sapphire Coast Drive, Merimbula, NSW 2548, Australia",-36.8875344,149.9058442
"2077, Australia",-33.6982491,151.1041029
"1/179 Burwood Road, Burwood, NSW 2134, Australia",-33.875518,151.1040538
"459 Kiewa Street, Albury, NSW 2640, Australia",-36.0937759,146.9186884
"47 Ashmore Road, Bundall, QLD 4217, Australia",-28.010035,153.4063545
